#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospira	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	83	223	166	283	85	208	14	540	110	11	293	48	1	124	98	63	47	39	218	155	153	283	194	219	113	42	65	84	211	331	2	19	83	200	41	82	70	77	123	181	33	250	92	197	76	94	172	129	109	32	104	127	183	397	162	87	4	19	236	61	69	151	48	31	68	13	9	80	63
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Oribacterium	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	5	47	3	15	44	44	15	12	26	23	9	21	9	16	25	7	7	66	5	20	13	62	10	30	35	10	25	4	29	69	1	30	10	34	12	10	94	26	15	9	18	36	32	16	28	3	18	4	44	9	10	14	162	36	2	6	54	0	2	33	26	6	19	3	95	2	3	8	8
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	3	5	32	12	4	12	1	5	5	0	3	8	0	3	5	9	7	10	13	9	2	10	12	68	3	7	2	1	7	19	2	2	5	10	1	13	0	1	1	2	1	9	0	12	9	32	10	7	1	3	9	2	7	5	2	0	6	3	0	0	4	0	1	11	26	10	6	2	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__Peptococcus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	1	2	0	3	0	2	24	0	5	1	0	11	1	2	0	2	1	5	8	98	0	3	0	1	5	1	3	2	11	20	1	25	0	20	11	1	9	3	6	5	10	4	0	44	11	2	0	1	4	9	9	2	65	3	4	5	5	1	0	0	18	3	2	0	1	0	1	7	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	16	16	1	87	1	16	1	38	19	1	2	26	0	42	2	0	0	69	0	26	83	19	51	16	6	2	5	80	98	32	2	190	53	17	36	83	1	1	7	0	0	47	0	42	3	114	164	55	10	18	72	77	21	58	0	26	0	0	25	0	3	6	6	5	21	8	2	75	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Acetanaerobacterium	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerotruncus	0	0	0	0	0	5	0	0	0	0	34	0	0	2	0	0	0	686	0	0	0	0	2	6	0	611	0	0	48	0	0	37	8	59	1	7	0	0	0	0	0	0	0	1	0	60	0	73	8	4	0	0	0	0	0	1	0	0	22	0	1	0	0	0	0	0	0	0	0
